"STREAM_ID","n.trend","n.ltgme","n.gm","ANALYSE"
1030,5,4,4,"Y"
1031,0,1,0,"Y"
1033,0,0,0,"N"
1034,4,4,3,"Y"
1035,5,5,5,"Y"
1036,5,5,5,"Y"
1037,3,3,3,"Y"
1038,3,3,3,"Y"
1039,0,0,0,"N"
1040,3,3,3,"Y"
1041,5,4,4,"Y"
1042,3,3,2,"Y"
1043,0,0,0,"N"
1044,3,5,1,"Y"
1045,5,5,4,"Y"
1046,3,4,3,"Y"
1047,0,0,0,"N"
1048,0,0,0,"N"
1049,0,0,0,"N"
1050,3,4,3,"Y"
1051,0,0,0,"N"
1052,0,0,0,"N"
1053,0,0,0,"N"
1054,3,4,0,"Y"
1055,0,0,0,"N"
1056,0,0,0,"N"
1057,3,5,0,"Y"
1058,0,0,0,"N"
1060,0,0,0,"N"
1062,0,0,0,"N"
1063,0,0,0,"N"
1064,0,0,0,"N"
1065,0,0,0,"N"
1066,0,0,0,"N"
1067,0,0,0,"N"
1068,4,5,0,"Y"
1069,0,0,0,"N"
1070,0,0,0,"N"
1071,0,0,0,"N"
1072,3,5,0,"Y"
1073,0,0,0,"N"
1074,0,0,0,"N"
1075,0,0,0,"N"
1076,0,0,0,"N"
1077,3,0,0,"Y"
1078,0,0,0,"N"
1079,0,0,0,"N"
1080,3,3,3,"Y"
1081,0,1,0,"Y"
1082,0,0,0,"N"
1083,4,4,4,"Y"
1084,1,1,0,"Y"
1085,4,4,3,"Y"
1086,5,6,5,"Y"
1087,5,4,4,"Y"
1088,0,0,0,"N"
1089,0,0,0,"N"
1090,4,5,3,"Y"
1091,4,4,3,"Y"
1092,1,1,1,"Y"
1093,0,0,0,"N"
1094,0,0,0,"N"
1095,0,0,0,"N"
1096,0,0,0,"N"
1097,4,5,5,"Y"
1098,0,0,0,"N"
1099,0,0,0,"N"
1100,0,0,0,"N"
1101,0,0,0,"N"
1102,0,0,0,"N"
1104,0,0,0,"N"
1105,0,0,0,"N"
1106,0,1,0,"Y"
1107,0,0,0,"N"
1108,3,3,3,"Y"
1109,0,0,0,"N"
1110,0,0,0,"N"
1111,0,0,0,"N"
1112,3,4,3,"Y"
1113,0,0,0,"N"
1114,0,0,0,"N"
1115,1,4,1,"Y"
1117,1,1,1,"Y"
1118,0,0,0,"N"
1119,6,6,2,"Y"
1120,0,0,0,"N"
1121,6,5,4,"Y"
1122,0,0,0,"N"
1123,5,5,1,"Y"
1124,0,0,0,"N"
1125,0,0,0,"N"
1126,0,0,0,"N"
1127,0,0,0,"N"
1128,0,0,0,"N"
1129,1,2,1,"Y"
1130,0,0,0,"N"
1131,0,0,0,"N"
1132,2,2,2,"Y"
1133,1,2,2,"Y"
1134,2,2,2,"Y"
1135,1,1,1,"Y"
1136,2,2,2,"Y"
1137,0,0,0,"N"
1138,0,0,0,"N"
1139,5,3,3,"Y"
1140,0,0,0,"N"
1141,4,4,4,"Y"
1142,0,0,0,"N"
1143,0,0,0,"N"
1144,6,6,6,"Y"
1145,0,1,0,"Y"
1146,1,1,1,"Y"
1147,0,0,0,"N"
1148,0,0,0,"N"
1149,1,5,5,"Y"
1150,0,0,0,"N"
1151,1,1,1,"Y"
1153,0,0,0,"N"
1154,0,0,0,"N"
1155,0,0,0,"N"
1156,6,7,6,"Y"
1157,1,1,1,"Y"
1158,0,0,0,"N"
1159,0,0,0,"N"
1160,0,2,0,"Y"
1162,0,0,0,"N"
1163,0,0,0,"N"
1164,0,0,0,"N"
1165,0,0,0,"N"
1166,0,0,0,"N"
1167,0,0,0,"N"
1168,0,0,0,"N"
1169,0,0,0,"N"
1170,2,2,2,"Y"
1171,0,0,0,"N"
1172,2,2,2,"Y"
1173,0,0,0,"N"
1174,0,2,0,"Y"
1175,0,0,0,"N"
1176,0,0,0,"N"
1177,0,0,0,"N"
1178,0,0,0,"N"
1179,6,6,6,"Y"
1180,0,0,0,"N"
1181,3,6,3,"Y"
1182,0,0,0,"N"
1183,0,0,0,"N"
1184,5,6,5,"Y"
1185,0,0,0,"N"
1186,0,0,0,"N"
1187,0,0,0,"N"
1188,0,0,0,"N"
1189,0,0,0,"N"
1190,0,0,0,"N"
1191,1,1,1,"Y"
1192,0,0,0,"N"
1193,0,0,0,"N"
1194,6,6,5,"Y"
1195,0,0,0,"N"
1196,0,0,0,"N"
1198,0,0,0,"N"
1199,0,0,0,"N"
1200,0,0,0,"N"
1201,0,1,0,"Y"
1202,0,0,0,"N"
1203,0,0,0,"N"
1204,1,1,1,"Y"
1205,0,0,0,"N"
1206,0,0,0,"N"
1207,0,0,0,"N"
1208,2,2,2,"Y"
1209,0,0,0,"N"
1210,1,1,1,"Y"
1211,3,3,3,"Y"
1212,0,0,0,"N"
1214,0,0,0,"N"
1215,0,0,0,"N"
1216,1,1,1,"Y"
1217,1,1,1,"Y"
1218,0,0,0,"N"
1219,0,0,0,"N"
1220,0,0,0,"N"
1221,2,3,2,"Y"
1222,0,0,0,"N"
1223,0,0,0,"N"
1224,0,0,0,"N"
1225,0,0,0,"N"
1226,0,0,0,"N"
